----------------------------------------------------------------------
Load Resistance RL			Load Current Irl			Load Power Prl
----------------------------------------------------------------------
10							17.1047						648
20							17.1047						648
30							17.1047						648
40							17.1047						648
50							17.1047						648
60							17.1047						648
70							17.1047						648
80							17.1047						648
90							17.1047						648
100							17.1047						648
110							17.1047						648
120							17.1047						648
130							17.1047						648
140							17.1047						648
150							17.1047						648
160							17.1047						648
170							17.1047						648
180							17.1047						648
190							17.1047						648
200							17.1047						648
----------------------------------------------------------------------
